report_dt,tb_id,gosb_id,inn,segment_name,is_force,mzp_fio,saphr_id,calc_fl_qty,prev_m_overflow_qty,plan_payee_qty,fact_payee_qty,outflow_qty,outflow_perc,other_inn_emp_perc,m_avg_salary_amt,prev_m_avg_salary_amt,next_m_avg_salary_amt,prev_m_fl_val,next_m_fl_val,is_task,client_communication_infopovod,is_oktmo,oktmo_subject_code,oktmo_subject_district_code,oktmo_subject_district_city_code,oktmo,inserted_dttm,author_login
2024-10-31,70,5689,1234567890,Малый бизнес,False,Иванов Иван Иванович,,150,0,160,155,10,0.0625,0.0,45000.0,44000.0,46000.0,160,150,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,42,1234,2345678901,Средний бизнес,True,Петрова Мария Сергеевна,,300,0,310,305,5,0.0161,0.0,70000.0,69000.0,71000.0,310,305,False,,False,78,78000000,78000000000,40000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,18,5689,3456789012,Крупный бизнес,False,Сидоров Алексей Петрович,,500,0,510,505,5,0.0098,0.0,120000.0,118000.0,122000.0,510,505,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,16,1234,4567890123,Малый бизнес,True,Кузнецова Ольга Викторовна,,200,0,210,205,5,0.0244,0.0,50000.0,49000.0,51000.0,210,205,False,,False,78,78000000,78000000000,40000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,40,5689,5678901234,Средний бизнес,False,Волков Дмитрий Николаевич,,400,0,410,405,5,0.0122,0.0,80000.0,79000.0,81000.0,410,405,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,70,1234,6789012345,Крупный бизнес,True,Лебедева Анна Александровна,,600,0,610,605,5,0.0082,0.0,130000.0,128000.0,132000.0,610,605,False,,False,78,78000000,78000000000,40000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,18,5689,7890123456,Малый бизнес,False,Новиков Сергей Андреевич,,250,0,260,255,5,0.0192,0.0,55000.0,54000.0,56000.0,260,255,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,16,1234,8901234567,Средний бизнес,True,Федорова Елена Юрьевна,,350,0,360,355,5,0.0139,0.0,75000.0,74000.0,76000.0,360,355,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,40,1234,9012345678,Крупный бизнес,True,Григорьев Михаил Игоревич,,450,0,460,455,5,0.0109,0.0,90000.0,89000.0,91000.0,460,455,False,,False,78,78000000,78000000000,40000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,70,5689,1234567890,Малый бизнес,True,Иванов Иван Иванович,,150,0,160,155,10,0.0625,0.0,45000.0,44000.0,46000.0,160,150,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,42,1234,2345678901,Средний бизнес,False,Петрова Мария Сергеевна,,300,0,310,305,5,0.0161,0.0,70000.0,69000.0,71000.0,310,305,False,,False,78,78000000,78000000000,40000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,18,5689,3456789012,Крупный бизнес,True,Сидоров Алексей Петрович,,500,0,510,505,5,0.0098,0.0,120000.0,118000.0,122000.0,510,505,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,16,1234,4567890123,Малый бизнес,False,Кузнецова Ольга Викторовна,,200,0,210,205,5,0.0244,0.0,50000.0,49000.0,51000.0,210,205,True,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,40,5689,5678901234,Средний бизнес,False,Волков Дмитрий Николаевич,,400,0,410,405,5,0.0122,0.0,80000.0,79000.0,81000.0,410,405,False,,True,77,77000000,77000000000,45000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
2024-10-31,70,1234,6789012345,Крупный бизнес,True,Лебедева Анна Александровна,,600,0,610,605,5,0.0082,0.0,130000.0,128000.0,132000.0,610,605,True,,False,78,78000000,78000000000,40000000,2024-11-01 09:15:22,22241506 (Ямщиков Владислав Александрович [VAYamshchikov@omega.sbrf.ru])
